2024-05-14 00:11:12 + : pb-IF4HUE4OVw== ip: a|o~vo~~jdajcv , Device id: 471ab83860f81467e285daeb75c701957cbbb2a7 
2024-05-14 00:18:04 + : pb-IF4rURJSPA== ip: dvvd|vaaiey , Device id: 903cd3f58f4c64ff0313b2d8fc23df208f716b8f 
2024-05-14 00:20:50 + : pb-IF5WURQmFQ== ip: dvvcyvan~~hc , Device id: d8749bd7b4ae99da826545ba920ee8a07c1b96f9 
2024-05-14 00:21:17 + : pb-IF5WURQmFQ== ip: dvvcyvan~~hc , Device id: d8749bd7b4ae99da826545ba920ee8a07c1b96f9 
2024-05-14 00:23:55 + : pb-IF4xUhUoLQ== ip: azj~zo~vj~ya , Device id: cc521e4b421344c76ddeb7804e175be0e5cc2864 
2024-07-04 23:02:47 + : Server started 
2024-07-04 23:07:54 + : pb-IF4BUlQBJw== ip: azj~zo~}jeaia , Device id: ef86bb93ac5bf094c4332107ed4101624fe3f5d6 
2024-07-04 23:08:26 + : pb-IF4nUWQxHw==|| kicked > new account 
2024-07-04 23:12:27 + : pb-IF4BUlQBJw== ip: azj~zo~}jeaia , Device id: ef86bb93ac5bf094c4332107ed4101624fe3f5d6 
2024-07-04 23:14:47 + : pb-IF4BUlQBJw== ip: azj~zo~}jeaia , Device id: ef86bb93ac5bf094c4332107ed4101624fe3f5d6 
2024-07-04 23:16:15 + : pb-IF4BUlQBJw== ip: azj~zo~}jeaia , Device id: ef86bb93ac5bf094c4332107ed4101624fe3f5d6 
2024-07-04 23:25:16 + : pb-IF4BUlQBJw== ip: azj~zo~}jeaia , Device id: ef86bb93ac5bf094c4332107ed4101624fe3f5d6 
2024-07-05 00:07:17 + : pb-IF4iU0QaEw== ip: a{i~~lgajdaif} , Device id: 4da63e77c8e855d8d121f66e6efdb706c65f6e05 
2024-07-05 00:29:25 + : pb-IF4iU0QaEw== ip: a{i~~lgajdaif} , Device id: 4da63e77c8e855d8d121f66e6efdb706c65f6e05 
2024-07-05 00:30:10 + : pb-IF41NnYI ip: dvvd}vczvdy , Device id: d9e5990909030fcb7b0740de3398a0716edd6181 
2024-07-05 00:51:15 + : pb-IF4iU0QaEw== ip: a{i~~lgajdaif} , Device id: 4da63e77c8e855d8d121f66e6efdb706c65f6e05 
2024-07-05 00:58:46 + : pb-IF40UEwoPA== ip: a}h~}a~~hiaib{ , Device id: 4cb3ad722d24cc1fbb9d9e3103d1a7cbf7fd19ce 
2024-07-05 01:01:45 + : pb-IF40UEwoPA== ip: a}h~}a~~hiaib{ , Device id: 4cb3ad722d24cc1fbb9d9e3103d1a7cbf7fd19ce 
2024-07-05 01:03:01 + : pb-IF4NU1lYFg== ip: aakiaofaj`z , Device id: 259df46fae12aeae243cb8fe58c2607f7465dafe 
2024-07-05 01:03:32 + : pb-IF4NU1lYFg== ip: aakiaofaj`z , Device id: 259df46fae12aeae243cb8fe58c2607f7465dafe 
2024-07-05 01:04:03 + : pb-IF4NU1lYFg== ip: aakiaofaj`z , Device id: 259df46fae12aeae243cb8fe58c2607f7465dafe 
2024-07-05 01:05:37 + : pb-IF4NU1lYFg== ip: aakiaofaj`z , Device id: 259df46fae12aeae243cb8fe58c2607f7465dafe 
2024-07-05 01:06:23 + : pb-IF4NU1lYFg== ip: aakiaofaj`z , Device id: 259df46fae12aeae243cb8fe58c2607f7465dafe 
2024-07-05 01:06:59 + : pb-IF4NU1lYFg== ip: aakiaofaj`z , Device id: 259df46fae12aeae243cb8fe58c2607f7465dafe 
2024-07-05 01:14:02 + : pb-IF4iU0QaEw== ip: a{i~~lgajdaif} , Device id: 4da63e77c8e855d8d121f66e6efdb706c65f6e05 
2024-07-05 01:16:24 + : pb-IF4NU1lYFg== ip: aakiaofaj`z , Device id: 259df46fae12aeae243cb8fe58c2607f7465dafe 
2024-07-05 01:32:12 + : pb-IF40UEwoPA== ip: a}h~}a~~hiaib{ , Device id: 4cb3ad722d24cc1fbb9d9e3103d1a7cbf7fd19ce 
2024-07-05 01:36:20 + : pb-IF4iU0QaEw== ip: a{i~~lgajdaif} , Device id: 4da63e77c8e855d8d121f66e6efdb706c65f6e05 
2024-07-05 02:20:43 + : pb-IF4iU0QaEw== ip: a{i~~lgajdaif} , Device id: 4da63e77c8e855d8d121f66e6efdb706c65f6e05 
